"","pokemon_old","points_old","share_old","types"
"1","Incineroar","3199","81.30%","FireDark"
"2","Zacian","2465","62.64%","FairySteel"
"3","Kyogre","1543","39.21%","Water"
"4","Thundurus","1307","33.21%","FlyingElectric"
"5","Grimmsnarl","1242","31.56%","DarkFairy"
"6","Rillaboom","1201","30.52%","Grass"
"7","Groudon","1106","28.11%","Ground"
"8","Gastrodon","852","21.65%","WaterGround"
"9","Shadow Rider Calyrex","839","21.32%","PsychicGhost"
"10","Regieleki","826","20.99%","Electric"
"11","Charizard","736","18.70%","FireFlying"
"12","Whimsicott","634","16.11%","GrassFairy"
"13","Landorus Therian","609","15.48%","FlyingGround"
"14","Venusaur","603","15.32%","GrassPoison"
"15","Amoonguss","592","15.04%","GrassPoison"
"16","Porygon2","452","11.49%","Normal"
"17","Ice Rider Calyrex","450","11.44%","PsychicIce"
"18","Tornadus","389","9.89%","Flying"
"19","Lunala","385","9.78%","PsychicGhost"
"20","Yveltal","363","9.22%","DarkFlying"
"21","Palkia","340","8.64%","WaterDragon"
"22","Kartana","300","7.62%","GrassSteel"
"23","Female Indeedee","286","7.27%","NormalPsychic"
"24","Zapdos","280","7.12%","ElectricFlying"
"25","Tapu Fini","261","6.63%","WaterFairy"
"26","Shedinja","227","5.77%","BugGhost"
"27","Single Strike Urshifu","184","4.68%","FightingDark"
"28","Blastoise","121","3.07%","Water"
"29","Gothitelle","111","2.82%","Psychic"
"30","Reshiram","109","2.77%","DragonFire"
"31","Dialga","102","2.59%","SteelDragon"
"32","Gigantamax Rillaboom","92","2.34%","Grass"
"33","Solgaleo","86","2.19%","PsychicSteel"
"34","Gigantamax Venusaur","83","2.11%","GrassPoison"
"35","Mimikyu","74","1.88%","GhostFairy"
"36","Ferrothorn","68","1.73%","GrassSteel"
"37","Gigantamax Charizard","66","1.68%","FireFlying"
"38","Galarian Moltres","62","1.58%","FireDark"
"39","Ditto","55","1.40%","Normal"
"40","Torkoal","47","1.19%","Fire"
"41","Celesteela","46","1.17%","SteelFlying"
"42","Coalossal","46","1.17%","RockFire"
"43","Weezing","41","1.04%","Poison"
"44","White Kyurem","40","1.02%","DragonIce"
"45","Landorus","38","0.97%","FlyingGround"
"46","Umbreon","38","0.97%","Dark"
"47","Bronzong","36","0.91%","SteelPsychic"
"48","Heat Rotom","36","0.91%","ElectricFire"
"49","Raichu","33","0.84%","Electric"
"50","Sableye","29","0.74%","DarkGhost"
"51","Golisopod","29","0.74%","BugWater"
"52","Suicune","26","0.66%","Water"
"53","Gyarados","24","0.61%","WaterFlying"
"54","Alcremie","24","0.61%","Fairy"
"55","Clefairy","23","0.58%","Fairy"
"56","Galarian Darmanitan","20","0.51%","IceFire"
"57","Raikou","20","0.51%","Electric"
"58","Milotic","18","0.46%","Water"
"59","Slowbro","18","0.46%","WaterPsychic"
"60","Gigantamax Blastoise","18","0.46%","Water"
"61","Talonflame","17","0.43%","FireFlying"
"62","Dusclops","14","0.36%","Ghost"
"63","Thundurus Therian","12","0.30%","FlyingElectric"
"64","Alolan Persian","12","0.30%","Dark"
"65","Regigigas","11","0.28%","Normal"
"66","Nihilego","11","0.28%","RockPoison"
"67","Dragapult","10","0.25%","DragonGhost"
"68","Dusk Mane Necrozma","9","0.23%","PsychicSteel"
"69","Barraskewda","9","0.23%","Water"
"70","Entei","8","0.20%","Fire"
"71","Alolan Exeguttor","8","0.20%","GrassDragon"
"72","Gigantamax Grimmsnarl","7","0.18%","DarkFairy"
"73","Eternatus","7","0.18%","PoisonDragon"
"74","Togekiss","7","0.18%","FairyFlying"
"75","Lugia","6","0.15%","PsychicFlying"
"76","Cresselia","6","0.15%","Psychic"
"77","Sneasel","6","0.15%","DarkIce"
"78","Cinderace","6","0.15%","DragonGround"
"79","Tapu Koko","6","0.15%","ElectricFairy"
"80","Zamazenta","6","0.15%","FightingSteel"
"81","Xerneas","6","0.15%","Fairy"
"82","Escavalier","6","0.15%","BugSteel"
"83","Tsareena","6","0.15%","Grass"
"84","Dracozolt","6","0.15%","ElectricDragon"
"85","Araquanid","6","0.15%","WaterBug"
"86","Zygarde","6","0.15%","DragonGround"
"87","Chandelure","6","0.15%","GhostFire"
"88","Butterfree","4","0.10%","BugFlying"
"89","Pheromosa","4","0.10%","BugFighting"
"90","Ribombee","4","0.10%","BugFairy"
"91","Azumarill","4","0.10%","WaterFairy"
"92","Snorlax","4","0.10%","Normal"
"93","Glastrier","4","0.10%","Ice"
"94","Pikachu","4","0.10%","Electric"
"95","Centiskorch","4","0.10%","FireBug"
"96","Porygon-Z","2","0.05%","Normal"
"97","Kingdra","2","0.05%","WaterDragon"
"98","Ho-Oh","2","0.05%","FlyingFire"
"99","Cradily","2","0.05%","RockGrass"
